Area,Item,Year,Value
Antigua and Barbuda,"Milk, Total",2022,4894000
Antigua and Barbuda,"Milk, Total",2023,4913000
Antigua and Barbuda,"Roots and Tubers, Total",2017,903000
Antigua and Barbuda,"Roots and Tubers, Total",2018,815000
Antigua and Barbuda,"Roots and Tubers, Total",2019,774000
Antigua and Barbuda,"Roots and Tubers, Total",2020,628000
Antigua and Barbuda,"Roots and Tubers, Total",2021,875000
Antigua and Barbuda,"Roots and Tubers, Total",2022,1284000
Antigua and Barbuda,"Roots and Tubers, Total",2023,1653000
Antigua and Barbuda,Vegetables and Fruit Primary,2017,8943000
Antigua and Barbuda,Vegetables and Fruit Primary,2018,7811000
Antigua and Barbuda,Vegetables and Fruit Primary,2019,6865000
Antigua and Barbuda,Vegetables and Fruit Primary,2020,6120000
Antigua and Barbuda,Vegetables and Fruit Primary,2021,8183000
Antigua and Barbuda,Vegetables and Fruit Primary,2022,7022000
Antigua and Barbuda,Vegetables and Fruit Primary,2023,9789000
Argentina,Agriculture,2017,51771895000
Argentina,Agriculture,2018,40857923000
Argentina,Agriculture,2019,36996514000
Argentina,Agriculture,2020,28470853000
Argentina,Agriculture,2021,24483121000
Argentina,Agriculture,2022,21927813000
Argentina,Agriculture,2023,9991296000
Argentina,"Cereals, primary",2017,11767160000
Argentina,"Cereals, primary",2018,10458404000
Argentina,"Cereals, primary",2019,8800088000
Argentina,"Cereals, primary",2020,7346922000
Argentina,"Cereals, primary",2021,6423218000
Argentina,"Cereals, primary",2022,5836038000
Argentina,"Cereals, primary",2023,2035904000
Argentina,Crops,2017,35567464000
Argentina,Crops,2018,26785869000
Argentina,Crops,2019,23158553000
Argentina,Crops,2020,17157543000
Argentina,Crops,2021,14649558000
Argentina,Crops,2022,12588349000
Argentina,Crops,2023,4492946000
Argentina,"Meat indigenous, total",2017,11690553000
Argentina,"Meat indigenous, total",2018,9894922000
Argentina,"Meat indigenous, total",2019,9503412000
Argentina,"Meat indigenous, total",2020,7133479000
Argentina,"Meat indigenous, total",2021,6138137000
Argentina,"Meat indigenous, total",2022,5315970000
Argentina,"Meat indigenous, total",2023,2626470000
Argentina,"Milk, Total",2017,3409719000
Argentina,"Milk, Total",2018,2755455000
Argentina,"Milk, Total",2019,3144968000
Argentina,"Milk, Total",2020,2896127000
Argentina,"Milk, Total",2021,2985816000
Argentina,"Milk, Total",2022,2900877000
Argentina,"Milk, Total",2023,1484333000
Argentina,"Roots and Tubers, Total",2017,1347290000
Argentina,"Roots and Tubers, Total",2018,708315000
Argentina,"Roots and Tubers, Total",2019,663983000
Argentina,"Roots and Tubers, Total",2020,556332000
Argentina,"Roots and Tubers, Total",2021,487603000
Argentina,"Roots and Tubers, Total",2022,361651000
Argentina,"Roots and Tubers, Total",2023,160234000
Argentina,Sugar Crops Primary,2017,781235000
Argentina,Sugar Crops Primary,2018,537006000
Argentina,Sugar Crops Primary,2019,406224000
Argentina,Sugar Crops Primary,2020,311787000
Argentina,Sugar Crops Primary,2021,249329000
Argentina,Sugar Crops Primary,2022,195993000
Argentina,Sugar Crops Primary,2023,95896000
Argentina,Vegetables and Fruit Primary,2017,2828345000
Argentina,Vegetables and Fruit Primary,2018,1908564000
Argentina,Vegetables and Fruit Primary,2019,1107679000
Argentina,Vegetables and Fruit Primary,2020,771452000
Argentina,Vegetables and Fruit Primary,2021,702053000
Argentina,Vegetables and Fruit Primary,2022,582146000
Argentina,Vegetables and Fruit Primary,2023,257857000
Armenia,Agriculture,2017,1519267000
Armenia,Agriculture,2018,1531346000
Armenia,Agriculture,2019,1484568000
Armenia,Agriculture,2020,1449136000
Armenia,Agriculture,2021,1533605000
Armenia,Agriculture,2022,1966436000
Armenia,Agriculture,2023,1987370000
Armenia,"Cereals, primary",2017,70109000
Armenia,"Cereals, primary",2018,78340000
Armenia,"Cereals, primary",2019,51711000
Armenia,"Cereals, primary",2020,63093000
Armenia,"Cereals, primary",2021,43801000
Armenia,"Cereals, primary",2022,92898000
Armenia,"Cereals, primary",2023,89574000
Armenia,Crops,2017,720645000
Armenia,Crops,2018,650853000
Armenia,Crops,2019,617516000
Armenia,Crops,2020,611801000
Armenia,Crops,2021,659234000
Armenia,Crops,2022,870195000
Armenia,Crops,2023,839450000
Armenia,"Meat indigenous, total",2017,467272000
Armenia,"Meat indigenous, total",2018,557142000
Armenia,"Meat indigenous, total",2019,555124000
Armenia,"Meat indigenous, total",2020,525898000
Armenia,"Meat indigenous, total",2021,545228000
Armenia,"Meat indigenous, total",2022,681963000
Armenia,"Meat indigenous, total",2023,723417000
Armenia,"Milk, Total",2017,230537000
Armenia,"Milk, Total",2018,222997000
Armenia,"Milk, Total",2019,205024000
Armenia,"Milk, Total",2020,201152000
Armenia,"Milk, Total",2021,208380000
Armenia,"Milk, Total",2022,279837000
Armenia,"Milk, Total",2023,272458000
Armenia,"Roots and Tubers, Total",2017,127559000
Armenia,"Roots and Tubers, Total",2018,101609000
Armenia,"Roots and Tubers, Total",2019,123103000
Armenia,"Roots and Tubers, Total",2020,100336000
Armenia,"Roots and Tubers, Total",2021,111118000
Armenia,"Roots and Tubers, Total",2022,161040000
Armenia,"Roots and Tubers, Total",2023,129035000
Armenia,Sugar Crops Primary,2017,3262000
Armenia,Sugar Crops Primary,2018,3246000
Armenia,Sugar Crops Primary,2019,3398000
Armenia,Sugar Crops Primary,2020,3301000
Armenia,Sugar Crops Primary,2021,3186000
Armenia,Sugar Crops Primary,2022,3685000
Armenia,Sugar Crops Primary,2023,4200000
Armenia,Vegetables and Fruit Primary,2017,497026000
Armenia,Vegetables and Fruit Primary,2018,452764000
Armenia,Vegetables and Fruit Primary,2019,423548000
Armenia,Vegetables and Fruit Primary,2020,426333000
Armenia,Vegetables and Fruit Primary,2021,484204000
Armenia,Vegetables and Fruit Primary,2022,593596000
Armenia,Vegetables and Fruit Primary,2023,595761000
Australia,Agriculture,2017,40693125000
Australia,Agriculture,2018,40076829000
Australia,Agriculture,2019,34355666000
Australia,Agriculture,2020,36492750000
Australia,Agriculture,2021,50723094000
Australia,Agriculture,2022,56831329000
Australia,Agriculture,2023,54787238000
Australia,"Cereals, primary",2017,8621478000
Australia,"Cereals, primary",2018,6774926000
Australia,"Cereals, primary",2019,7132491000
Australia,"Cereals, primary",2020,6028850000
Australia,"Cereals, primary",2021,11302439000
Australia,"Cereals, primary",2022,13580754000
Australia,"Cereals, primary",2023,12525573000
Australia,Crops,2017,26341103000
Australia,Crops,2018,24688339000
Australia,Crops,2019,19983398000
Australia,Crops,2020,17007331000
Australia,Crops,2021,28351093000
Australia,Crops,2022,34480344000
Australia,Crops,2023,34914754000
Australia,"Meat indigenous, total",2017,9480832000
Australia,"Meat indigenous, total",2018,10054195000
Australia,"Meat indigenous, total",2019,10024065000
Australia,"Meat indigenous, total",2020,15344327000
Australia,"Meat indigenous, total",2021,16810910000
Australia,"Meat indigenous, total",2022,17209508000
Australia,"Meat indigenous, total",2023,15176494000
Australia,"Milk, Total",2017,2494353000
Australia,"Milk, Total",2018,2782903000
Australia,"Milk, Total",2019,2327657000
Australia,"Milk, Total",2020,2377271000
Australia,"Milk, Total",2021,2728741000
Australia,"Milk, Total",2022,2358483000
Australia,"Milk, Total",2023,2288835000
Australia,"Roots and Tubers, Total",2017,484300000
Australia,"Roots and Tubers, Total",2018,518463000
Australia,"Roots and Tubers, Total",2019,561435000
Australia,"Roots and Tubers, Total",2020,511541000
Australia,"Roots and Tubers, Total",2021,659528000
Australia,"Roots and Tubers, Total",2022,551603000
Australia,"Roots and Tubers, Total",2023,732598000
Australia,Sugar Crops Primary,2017,1232953000
Australia,Sugar Crops Primary,2018,1001390000
Australia,Sugar Crops Primary,2019,878827000
Australia,Sugar Crops Primary,2020,862601000
Australia,Sugar Crops Primary,2021,964952000
Australia,Sugar Crops Primary,2022,955136000
Australia,Sugar Crops Primary,2023,1003966000
Australia,Vegetables and Fruit Primary,2017,5920978000
Australia,Vegetables and Fruit Primary,2018,5905031000
Australia,Vegetables and Fruit Primary,2019,5547654000
Australia,Vegetables and Fruit Primary,2020,5654913000
Australia,Vegetables and Fruit Primary,2021,6923752000
Australia,Vegetables and Fruit Primary,2022,5751900000
Australia,Vegetables and Fruit Primary,2023,6606334000
Austria,Agriculture,2017,6357501000
Austria,Agriculture,2018,7033207000
Austria,Agriculture,2019,6399048000
Austria,Agriculture,2020,6750091000
Austria,Agriculture,2021,7717800000
Austria,Agriculture,2022,8491013000
Austria,Agriculture,2023,7895295000
Austria,"Cereals, primary",2017,750136000
Austria,"Cereals, primary",2018,807479000
Austria,"Cereals, primary",2019,797939000
Austria,"Cereals, primary",2020,859332000
Austria,"Cereals, primary",2021,1292805000
Austria,"Cereals, primary",2022,1511035000
Austria,"Cereals, primary",2023,894824000
Austria,Crops,2017,2137485000
Austria,Crops,2018,2485845000
Austria,Crops,2019,2145084000
Austria,Crops,2020,2444147000
Austria,Crops,2021,3138542000
Austria,Crops,2022,3424507000
Austria,Crops,2023,2667037000
Austria,"Meat indigenous, total",2017,2242806000
Austria,"Meat indigenous, total",2018,2293932000
Austria,"Meat indigenous, total",2019,2265817000
Austria,"Meat indigenous, total",2020,2216027000
Austria,"Meat indigenous, total",2021,2291432000
Austria,"Meat indigenous, total",2022,2442653000
Austria,"Meat indigenous, total",2023,2589953000
Austria,"Milk, Total",2017,1601919000
Austria,"Milk, Total",2018,1864846000
Austria,"Milk, Total",2019,1608866000
Austria,"Milk, Total",2020,1685168000
Austria,"Milk, Total",2021,1843109000
Austria,"Milk, Total",2022,2122754000
Austria,"Milk, Total",2023,2103413000
Austria,"Roots and Tubers, Total",2017,164604000
Austria,"Roots and Tubers, Total",2018,170614000
Austria,"Roots and Tubers, Total",2019,214459000
Austria,"Roots and Tubers, Total",2020,137613000
Austria,"Roots and Tubers, Total",2021,161131000
Austria,"Roots and Tubers, Total",2022,186183000
Austria,"Roots and Tubers, Total",2023,275554000
Austria,Sugar Crops Primary,2017,82456000
Austria,Sugar Crops Primary,2018,62741000
Austria,Sugar Crops Primary,2019,65998000
Austria,Sugar Crops Primary,2020,64506000
Austria,Sugar Crops Primary,2021,114204000
Austria,Sugar Crops Primary,2022,179512000
Austria,Sugar Crops Primary,2023,164909000
Austria,Vegetables and Fruit Primary,2017,877433000
Austria,Vegetables and Fruit Primary,2018,1140770000
Austria,Vegetables and Fruit Primary,2019,774056000
Austria,Vegetables and Fruit Primary,2020,1036163000
Austria,Vegetables and Fruit Primary,2021,1087376000
Austria,Vegetables and Fruit Primary,2022,1061771000
Austria,Vegetables and Fruit Primary,2023,974272000
Azerbaijan,Agriculture,2017,3213403000
Azerbaijan,Agriculture,2018,3471675000
Azerbaijan,Agriculture,2019,3899860000
Azerbaijan,Agriculture,2020,4218964000
Azerbaijan,Agriculture,2021,4628218000
Azerbaijan,Agriculture,2022,5534580000
Azerbaijan,Agriculture,2023,5989814000
Azerbaijan,"Cereals, primary",2017,438746000
Azerbaijan,"Cereals, primary",2018,476313000
Azerbaijan,"Cereals, primary",2019,540595000
Azerbaijan,"Cereals, primary",2020,520164000
Azerbaijan,"Cereals, primary",2021,612211000
Azerbaijan,"Cereals, primary",2022,776571000
Azerbaijan,"Cereals, primary",2023,667516000
Azerbaijan,Crops,2017,1807807000
Azerbaijan,Crops,2018,1873198000
Azerbaijan,Crops,2019,2136438000
Azerbaijan,Crops,2020,2315018000
Azerbaijan,Crops,2021,2595057000
Azerbaijan,Crops,2022,3152271000
Azerbaijan,Crops,2023,3348552000
Azerbaijan,"Meat indigenous, total",2017,689034000
Azerbaijan,"Meat indigenous, total",2018,769673000
Azerbaijan,"Meat indigenous, total",2019,822134000
Azerbaijan,"Meat indigenous, total",2020,880605000
Azerbaijan,"Meat indigenous, total",2021,926386000
Azerbaijan,"Meat indigenous, total",2022,1097324000
Azerbaijan,"Meat indigenous, total",2023,1250032000
Azerbaijan,"Milk, Total",2017,577476000
Azerbaijan,"Milk, Total",2018,605602000
Azerbaijan,"Milk, Total",2019,675759000
Azerbaijan,"Milk, Total",2020,741050000
Azerbaijan,"Milk, Total",2021,803154000
Azerbaijan,"Milk, Total",2022,937894000
Azerbaijan,"Milk, Total",2023,1052883000
Azerbaijan,"Roots and Tubers, Total",2017,238941000
Azerbaijan,"Roots and Tubers, Total",2018,237945000
Azerbaijan,"Roots and Tubers, Total",2019,283531000
Azerbaijan,"Roots and Tubers, Total",2020,305187000
Azerbaijan,"Roots and Tubers, Total",2021,324834000
Azerbaijan,"Roots and Tubers, Total",2022,398109000
Azerbaijan,"Roots and Tubers, Total",2023,427984000
Azerbaijan,Sugar Crops Primary,2017,13819000
Azerbaijan,Sugar Crops Primary,2018,9784000
Azerbaijan,Sugar Crops Primary,2019,8355000
Azerbaijan,Sugar Crops Primary,2020,8938000
Azerbaijan,Sugar Crops Primary,2021,5528000
Azerbaijan,Sugar Crops Primary,2022,7558000
Azerbaijan,Sugar Crops Primary,2023,8487000
Azerbaijan,Vegetables and Fruit Primary,2017,926378000
Azerbaijan,Vegetables and Fruit Primary,2018,932491000
Azerbaijan,Vegetables and Fruit Primary,2019,1082085000
Azerbaijan,Vegetables and Fruit Primary,2020,1247857000
Azerbaijan,Vegetables and Fruit Primary,2021,1372420000
Azerbaijan,Vegetables and Fruit Primary,2022,1621249000
Azerbaijan,Vegetables and Fruit Primary,2023,1888917000
Bahrain,Agriculture,2017,53985000
Bahrain,Agriculture,2018,49724000
Bahrain,Agriculture,2019,66581000
Bahrain,Agriculture,2020,66272000
Bahrain,Agriculture,2021,70172000
Bahrain,Agriculture,2022,80945000
Bahrain,Agriculture,2023,86821000
Bahrain,Crops,2017,29921000
Bahrain,Crops,2018,31826000
Bahrain,Crops,2019,36647000
Bahrain,Crops,2020,39448000
Bahrain,Crops,2021,43673000
Bahrain,Crops,2022,49837000
Bahrain,Crops,2023,54236000
Bahrain,"Milk, Total",2017,24064000
Bahrain,"Milk, Total",2018,17898000
Bahrain,"Milk, Total",2019,14244000
Bahrain,"Milk, Total",2020,12422000
Bahrain,"Milk, Total",2021,12529000
Bahrain,"Milk, Total",2022,14485000
Bahrain,"Milk, Total",2023,14566000
Bahrain,"Roots and Tubers, Total",2017,100000
Bahrain,"Roots and Tubers, Total",2018,113000
Bahrain,"Roots and Tubers, Total",2019,40000
Bahrain,"Roots and Tubers, Total",2020,40000
Bahrain,"Roots and Tubers, Total",2021,146000
Bahrain,"Roots and Tubers, Total",2022,146000
Bahrain,"Roots and Tubers, Total",2023,160000
Bahrain,Vegetables and Fruit Primary,2017,29783000
Bahrain,Vegetables and Fruit Primary,2018,31669000
Bahrain,Vegetables and Fruit Primary,2019,36563000
Bahrain,Vegetables and Fruit Primary,2020,39364000
Bahrain,Vegetables and Fruit Primary,2021,43527000
Bahrain,Vegetables and Fruit Primary,2022,49691000
Bahrain,Vegetables and Fruit Primary,2023,54077000
Bangladesh,Agriculture,2017,28077155000
Bangladesh,Agriculture,2018,29125863000
Bangladesh,Agriculture,2019,25742563000
Bangladesh,Agriculture,2020,29442079000
Bangladesh,Agriculture,2021,36299432000
Bangladesh,Agriculture,2022,36594610000
Bangladesh,Agriculture,2023,31931745000
Bangladesh,"Cereals, primary",2017,14894411000
Bangladesh,"Cereals, primary",2018,16202187000
Bangladesh,"Cereals, primary",2019,12559185000
Bangladesh,"Cereals, primary",2020,13006978000
Bangladesh,"Cereals, primary",2021,17517493000
Bangladesh,"Cereals, primary",2022,17238136000
Bangladesh,"Cereals, primary",2023,14959813000
Bangladesh,Crops,2017,23049076000
Bangladesh,Crops,2018,24035487000
Bangladesh,Crops,2019,20716226000
Bangladesh,Crops,2020,23423785000
Bangladesh,Crops,2021,29676113000
Bangladesh,Crops,2022,30236238000
Bangladesh,Crops,2023,26215548000
Bangladesh,"Meat indigenous, total",2017,1022744000
Bangladesh,"Meat indigenous, total",2018,1033485000
Bangladesh,"Meat indigenous, total",2019,1070328000
Bangladesh,"Meat indigenous, total",2020,1102493000
Bangladesh,"Meat indigenous, total",2021,1152688000
Bangladesh,"Meat indigenous, total",2022,1104576000
Bangladesh,"Meat indigenous, total",2023,964964000
Bangladesh,"Milk, Total",2017,2382435000
Bangladesh,"Milk, Total",2018,2388293000
Bangladesh,"Milk, Total",2019,2567321000
Bangladesh,"Milk, Total",2020,2770662000
Bangladesh,"Milk, Total",2021,3130809000
Bangladesh,"Milk, Total",2022,3172021000
Bangladesh,"Milk, Total",2023,2905421000
Bangladesh,"Roots and Tubers, Total",2017,1815285000
Bangladesh,"Roots and Tubers, Total",2018,1524529000
Bangladesh,"Roots and Tubers, Total",2019,1737812000
Bangladesh,"Roots and Tubers, Total",2020,1971136000
Bangladesh,"Roots and Tubers, Total",2021,2600673000
Bangladesh,"Roots and Tubers, Total",2022,2488930000
Bangladesh,"Roots and Tubers, Total",2023,2117715000
Bangladesh,Sugar Crops Primary,2017,179895000
Bangladesh,Sugar Crops Primary,2018,168878000
Bangladesh,Sugar Crops Primary,2019,154496000
Bangladesh,Sugar Crops Primary,2020,189275000
Bangladesh,Sugar Crops Primary,2021,182051000
Bangladesh,Sugar Crops Primary,2022,157001000
Bangladesh,Sugar Crops Primary,2023,126517000
Bangladesh,Vegetables and Fruit Primary,2017,3084834000
Bangladesh,Vegetables and Fruit Primary,2018,3111226000
Bangladesh,Vegetables and Fruit Primary,2019,2774968000
Bangladesh,Vegetables and Fruit Primary,2020,4306026000
Bangladesh,Vegetables and Fruit Primary,2021,3958053000
Bangladesh,Vegetables and Fruit Primary,2022,4365589000
Bangladesh,Vegetables and Fruit Primary,2023,3762610000
Barbados,Agriculture,2017,140445000
Barbados,Agriculture,2018,152893000
Barbados,Agriculture,2019,160119000
Barbados,Agriculture,2020,141857000
Barbados,Agriculture,2021,136931000
Barbados,Agriculture,2022,163917000
Barbados,Agriculture,2023,162997000
Barbados,"Cereals, primary",2017,76000
Barbados,"Cereals, primary",2018,115000
Barbados,"Cereals, primary",2019,44000
Barbados,"Cereals, primary",2020,91000
Barbados,"Cereals, primary",2021,53000
Barbados,"Cereals, primary",2022,54000
Barbados,"Cereals, primary",2023,50000
Barbados,Crops,2017,49268000
Barbados,Crops,2018,57575000
Barbados,Crops,2019,59150000
Barbados,Crops,2020,57635000
Barbados,Crops,2021,52532000
Barbados,Crops,2022,68661000
Barbados,Crops,2023,68153000
Barbados,"Meat indigenous, total",2017,69225000
Barbados,"Meat indigenous, total",2018,75280000
Barbados,"Meat indigenous, total",2019,76855000
Barbados,"Meat indigenous, total",2020,62403000
Barbados,"Meat indigenous, total",2021,66455000
Barbados,"Meat indigenous, total",2022,75302000
Barbados,"Meat indigenous, total",2023,74308000
Barbados,"Milk, Total",2017,5718000
Barbados,"Milk, Total",2018,5803000
Barbados,"Milk, Total",2019,5605000
Barbados,"Milk, Total",2020,4754000
Barbados,"Milk, Total",2021,5177000
Barbados,"Milk, Total",2022,4815000
Barbados,"Milk, Total",2023,5113000
Barbados,"Roots and Tubers, Total",2017,4628000
Barbados,"Roots and Tubers, Total",2018,6514000
Barbados,"Roots and Tubers, Total",2019,7026000
Barbados,"Roots and Tubers, Total",2020,6443000
Barbados,"Roots and Tubers, Total",2021,6131000
Barbados,"Roots and Tubers, Total",2022,11477000
Barbados,"Roots and Tubers, Total",2023,10546000
Barbados,Sugar Crops Primary,2017,3962000
Barbados,Sugar Crops Primary,2018,4559000
Barbados,Sugar Crops Primary,2019,2866000
Barbados,Sugar Crops Primary,2020,2967000
Barbados,Sugar Crops Primary,2021,2866000
Barbados,Sugar Crops Primary,2022,2891000
Barbados,Sugar Crops Primary,2023,1997000
Barbados,Vegetables and Fruit Primary,2017,31891000
Barbados,Vegetables and Fruit Primary,2018,36711000
Barbados,Vegetables and Fruit Primary,2019,39146000
Barbados,Vegetables and Fruit Primary,2020,37829000
Barbados,Vegetables and Fruit Primary,2021,33216000
Barbados,Vegetables and Fruit Primary,2022,43834000
