Area,Year,Value
Bahamas,2024,5.54
Bahrain,2017,3.04
Bahrain,2018,3.19
Bahrain,2019,3.3
Bahrain,2020,3.42
Bahrain,2021,3.25
Bahrain,2022,3.74
Bahrain,2023,4.12
Bahrain,2024,4.33
Bangladesh,2017,3.09
Bangladesh,2018,3.26
Bangladesh,2019,3.4
Bangladesh,2020,3.61
Bangladesh,2021,3.83
Bangladesh,2022,4.13
Bangladesh,2023,4.33
Bangladesh,2024,4.49
Belarus,2017,3.13
Belarus,2018,3.13
Belarus,2019,3.19
Belarus,2020,3.22
Belarus,2021,3.3
Belarus,2022,3.6
Belarus,2023,3.72
Belarus,2024,3.83
Belgium,2017,2.0
Belgium,2018,2.07
Belgium,2019,2.16
Belgium,2020,2.28
Belgium,2021,2.26
Belgium,2022,2.49
Belgium,2023,2.77
Belgium,2024,2.81
Belize,2017,2.56
Belize,2018,2.69
Belize,2019,2.9
Belize,2020,3.16
Belize,2021,3.52
Belize,2022,3.85
Belize,2023,4.32
Belize,2024,4.54
Benin,2017,2.85
Benin,2018,2.87
Benin,2019,2.89
Benin,2020,2.9
Benin,2021,3.07
Benin,2022,3.25
Benin,2023,3.3
Benin,2024,3.39
Bermuda,2017,2.88
Bermuda,2018,2.94
Bermuda,2019,3.12
Bermuda,2020,3.33
Bermuda,2021,3.55
Bermuda,2022,3.96
Bermuda,2023,4.23
Bermuda,2024,4.39
Bhutan,2017,4.14
Bhutan,2018,4.31
Bhutan,2019,4.44
Bhutan,2020,4.86
Bhutan,2021,5.14
Bhutan,2022,5.48
Bhutan,2023,5.69
Bhutan,2024,5.96
Bolivia (Plurinational State of),2017,3.62
Bolivia (Plurinational State of),2018,3.61
Bolivia (Plurinational State of),2019,3.75
Bolivia (Plurinational State of),2020,3.78
Bolivia (Plurinational State of),2021,3.96
Bolivia (Plurinational State of),2022,4.3
Bolivia (Plurinational State of),2023,4.57
Bolivia (Plurinational State of),2024,4.82
Bosnia and Herzegovina,2017,4.07
Bosnia and Herzegovina,2018,4.13
Bosnia and Herzegovina,2019,4.34
Bosnia and Herzegovina,2020,4.34
Bosnia and Herzegovina,2021,4.54
Bosnia and Herzegovina,2022,5.48
Bosnia and Herzegovina,2023,5.95
Bosnia and Herzegovina,2024,6.15
Botswana,2017,3.01
Botswana,2018,3.0
Botswana,2019,3.04
Botswana,2020,3.21
Botswana,2021,3.41
Botswana,2022,3.62
Botswana,2023,4.01
Botswana,2024,4.21
Brazil,2017,3.15
Brazil,2018,3.23
Brazil,2019,3.39
Brazil,2020,3.69
Brazil,2021,3.97
Brazil,2022,4.39
Brazil,2023,4.55
Brazil,2024,4.69
British Virgin Islands,2017,3.5
British Virgin Islands,2018,3.53
British Virgin Islands,2019,3.64
British Virgin Islands,2020,3.78
British Virgin Islands,2021,3.94
British Virgin Islands,2022,4.78
British Virgin Islands,2023,5.05
British Virgin Islands,2024,5.23
Brunei Darussalam,2017,4.11
Brunei Darussalam,2018,4.26
Brunei Darussalam,2019,4.36
Brunei Darussalam,2020,4.55
Brunei Darussalam,2021,4.85
Brunei Darussalam,2022,5.32
Brunei Darussalam,2023,5.67
Brunei Darussalam,2024,5.89
Bulgaria,2017,3.39
Bulgaria,2018,3.47
Bulgaria,2019,3.67
Bulgaria,2020,3.8
Bulgaria,2021,3.93
Bulgaria,2022,4.72
Bulgaria,2023,5.16
Bulgaria,2024,5.32
Burkina Faso,2017,2.77
Burkina Faso,2018,2.82
Burkina Faso,2019,2.72
Burkina Faso,2020,2.8
Burkina Faso,2021,2.97
Burkina Faso,2022,3.48
Burkina Faso,2023,3.55
Burkina Faso,2024,3.73
Burundi,2017,3.4
Burundi,2018,3.12
Burundi,2019,3.1
Burundi,2020,3.33
Burundi,2021,3.54
Burundi,2022,4.0
Burundi,2023,4.5
Burundi,2024,4.55
Cabo Verde,2017,3.16
Cabo Verde,2018,2.92
Cabo Verde,2019,2.86
Cabo Verde,2020,2.83
Cabo Verde,2021,2.92
Cabo Verde,2022,3.38
Cabo Verde,2023,3.69
Cabo Verde,2024,3.81
Cambodia,2017,3.55
Cambodia,2018,3.62
Cambodia,2019,3.68
Cambodia,2020,3.84
Cambodia,2021,3.95
Cambodia,2022,4.25
Cambodia,2023,4.47
Cambodia,2024,4.6
Cameroon,2017,2.6
Cameroon,2018,2.74
Cameroon,2019,2.9
Cameroon,2020,3.1
Cameroon,2021,3.41
Cameroon,2022,3.9
Cameroon,2023,4.2
Cameroon,2024,4.38
Canada,2017,3.08
Canada,2018,3.13
Canada,2019,3.19
Canada,2020,3.33
Canada,2021,3.52
Canada,2022,3.92
Canada,2023,4.27
Canada,2024,4.39
Cayman Islands,2017,3.5
Cayman Islands,2018,3.64
Cayman Islands,2019,3.61
Cayman Islands,2020,3.81
Cayman Islands,2021,4.09
Cayman Islands,2022,4.33
Cayman Islands,2023,4.61
Cayman Islands,2024,4.7
Central African Republic,2017,2.95
Central African Republic,2018,3.08
Central African Republic,2019,3.22
Central African Republic,2020,3.38
Central African Republic,2021,3.63
Central African Republic,2022,3.92
Central African Republic,2023,4.08
Central African Republic,2024,4.21
Chad,2017,2.82
Chad,2018,2.8
Chad,2019,2.8
Chad,2020,2.95
Chad,2021,3.04
Chad,2022,3.49
Chad,2023,3.77
Chad,2024,3.94
Chile,2017,3.38
Chile,2018,3.52
Chile,2019,3.66
Chile,2020,3.79
Chile,2021,3.87
Chile,2022,4.42
Chile,2023,5.04
Chile,2024,5.22
"China, Hong Kong SAR",2017,3.33
"China, Hong Kong SAR",2018,3.44
"China, Hong Kong SAR",2019,3.78
"China, Hong Kong SAR",2020,4.04
"China, Hong Kong SAR",2021,4.2
"China, Hong Kong SAR",2022,4.65
"China, Hong Kong SAR",2023,4.77
"China, Hong Kong SAR",2024,4.81
"China, mainland",2017,2.8
"China, mainland",2018,2.82
"China, mainland",2019,3.0
"China, mainland",2020,3.25
"China, mainland",2021,3.13
"China, mainland",2022,3.41
"China, mainland",2023,3.53
"China, mainland",2024,3.6
"China, Taiwan Province of",2017,4.0
"China, Taiwan Province of",2018,
"China, Taiwan Province of",2019,
"China, Taiwan Province of",2020,
"China, Taiwan Province of",2021,4.95
"China, Taiwan Province of",2022,
"China, Taiwan Province of",2023,
"China, Taiwan Province of",2024,
Colombia,2017,2.84
Colombia,2018,2.87
Colombia,2019,2.95
Colombia,2020,3.15
Colombia,2021,3.3
Colombia,2022,4.06
Colombia,2023,4.69
Colombia,2024,4.67
Comoros,2017,4.61
Comoros,2018,4.55
Comoros,2019,4.54
Comoros,2020,4.49
Comoros,2021,4.48
Comoros,2022,4.75
Comoros,2023,4.93
Comoros,2024,5.14
Congo,2017,3.04
Congo,2018,3.16
Congo,2019,3.24
Congo,2020,3.43
Congo,2021,3.74
Congo,2022,4.16
Congo,2023,4.33
Congo,2024,4.43
Costa Rica,2017,3.54
Costa Rica,2018,3.58
Costa Rica,2019,3.67
Costa Rica,2020,3.56
Costa Rica,2021,3.7
Costa Rica,2022,4.13
Costa Rica,2023,4.52
Costa Rica,2024,4.62
Côte d'Ivoire,2017,2.66
Côte d'Ivoire,2018,2.69
Côte d'Ivoire,2019,2.66
Côte d'Ivoire,2020,2.73
Côte d'Ivoire,2021,2.91
Côte d'Ivoire,2022,3.25
Côte d'Ivoire,2023,3.45
Côte d'Ivoire,2024,3.58
Croatia,2017,3.31
Croatia,2018,3.35
Croatia,2019,3.44
Croatia,2020,3.53
Croatia,2021,3.71
Croatia,2022,4.21
Croatia,2023,4.52
Croatia,2024,4.7
Curaçao,2017,2.95
Curaçao,2018,3.13
Curaçao,2019,3.35
Curaçao,2020,3.65
Curaçao,2021,4.0
Curaçao,2022,4.44
Curaçao,2023,5.01
Curaçao,2024,5.54
Cyprus,2017,2.89
Cyprus,2018,2.93
Cyprus,2019,3.04
Cyprus,2020,3.14
Cyprus,2021,3.1
Cyprus,2022,3.44
Cyprus,2023,3.65
Cyprus,2024,3.82
Czechia,2017,2.81
Czechia,2018,2.83
Czechia,2019,2.97
Czechia,2020,3.0
Czechia,2021,2.9
Czechia,2022,3.36
Czechia,2023,3.65
Czechia,2024,3.58
Democratic Republic of the Congo,2017,4.27
Democratic Republic of the Congo,2018,3.46
Democratic Republic of the Congo,2019,3.44
Democratic Republic of the Congo,2020,3.21
Democratic Republic of the Congo,2021,3.11
Democratic Republic of the Congo,2022,3.38
Democratic Republic of the Congo,2023,3.55
Democratic Republic of the Congo,2024,3.46
Denmark,2017,2.2
Denmark,2018,2.26
Denmark,2019,2.34
Denmark,2020,2.41
Denmark,2021,2.49
Denmark,2022,2.72
Denmark,2023,2.94
Denmark,2024,3.03
Djibouti,2017,2.97
Djibouti,2018,3.0
Djibouti,2019,3.1
Djibouti,2020,3.24
Djibouti,2021,3.4
Djibouti,2022,3.86
Djibouti,2023,4.06
Djibouti,2024,4.2
Dominica,2017,4.28
Dominica,2018,4.55
Dominica,2019,4.75
Dominica,2020,5.0
Dominica,2021,5.26
Dominica,2022,5.69
Dominica,2023,6.08
Dominica,2024,6.36
Dominican Republic,2017,3.39
Dominican Republic,2018,3.48
Dominican Republic,2019,3.74
Dominican Republic,2020,4.05
Dominican Republic,2021,4.41
Dominican Republic,2022,4.87
Dominican Republic,2023,5.21
Dominican Republic,2024,5.4
Ecuador,2017,2.5
Ecuador,2018,2.54
Ecuador,2019,2.63
Ecuador,2020,2.77
Ecuador,2021,2.91
Ecuador,2022,3.19
Ecuador,2023,3.43
Ecuador,2024,3.56
Egypt,2017,3.81
Egypt,2018,4.02
Egypt,2019,3.98
Egypt,2020,3.88
Egypt,2021,4.01
Egypt,2022,4.69
Egypt,2023,5.96
Egypt,2024,6.38
Equatorial Guinea,2017,3.7
Equatorial Guinea,2018,3.77
Equatorial Guinea,2019,3.81
Equatorial Guinea,2020,3.93
Equatorial Guinea,2021,4.07
Equatorial Guinea,2022,4.43
Equatorial Guinea,2023,4.62
Equatorial Guinea,2024,4.79
Estonia,2017,3.14
Estonia,2018,3.21
Estonia,2019,3.35
Estonia,2020,3.43
Estonia,2021,3.34
Estonia,2022,3.76
Estonia,2023,4.21
Estonia,2024,4.32
Eswatini,2017,3.36
Eswatini,2018,3.31
Eswatini,2019,3.33
Eswatini,2020,3.41
Eswatini,2021,3.62
Eswatini,2022,3.96
Eswatini,2023,4.09
Eswatini,2024,4.21
Ethiopia,2017,2.94
Ethiopia,2018,3.03
Ethiopia,2019,3.27
Ethiopia,2020,3.52
Ethiopia,2021,3.88
Ethiopia,2022,4.29
Ethiopia,2023,4.41
Ethiopia,2024,4.78
Fiji,2017,3.2
Fiji,2018,3.26
Fiji,2019,3.41
Fiji,2020,3.48
Fiji,2021,3.81
Fiji,2022,4.18
Fiji,2023,4.58
Fiji,2024,4.82
Finland,2017,2.53
Finland,2018,2.61
Finland,2019,2.72
Finland,2020,2.81
Finland,2021,2.87
Finland,2022,3.25
Finland,2023,3.52
Finland,2024,3.57
France,2017,2.58
France,2018,2.65
France,2019,2.83
France,2020,2.94
France,2021,2.96
France,2022,3.32
France,2023,3.67
France,2024,3.75
Gabon,2017,3.24
Gabon,2018,3.31
Gabon,2019,3.44
Gabon,2020,3.6
Gabon,2021,3.81
Gabon,2022,4.18
Gabon,2023,4.45
Gabon,2024,4.64
Gambia,2017,2.69
Gambia,2018,2.86
Gambia,2019,2.98
Gambia,2020,3.18
Gambia,2021,3.45
Gambia,2022,3.81
Gambia,2023,4.13
Gambia,2024,4.43
Germany,2017,2.64
Germany,2018,2.76
Germany,2019,2.87
Germany,2020,2.97
Germany,2021,3.1
Germany,2022,3.54
Germany,2023,3.89
Germany,2024,4.0
Ghana,2017,3.54
Ghana,2018,3.51
Ghana,2019,3.48
Ghana,2020,3.46
Ghana,2021,3.5
Ghana,2022,3.83
Ghana,2023,4.29
Ghana,2024,4.49
Greece,2017,2.93
Greece,2018,2.99
Greece,2019,3.1
Greece,2020,3.13
Greece,2021,3.25
Greece,2022,3.73
Greece,2023,4.16
Greece,2024,4.31
Grenada,2017,4.43
Grenada,2018,4.5
Grenada,2019,4.44
Grenada,2020,4.5
Grenada,2021,4.59
Grenada,2022,5.11
Grenada,2023,5.58
Grenada,2024,5.83
Guatemala,2017,2.88
Guatemala,2018,3.12
Guatemala,2019,3.45
Guatemala,2020,3.74
Guatemala,2021,4.01
Guatemala,2022,4.43
Guatemala,2023,4.78
Guatemala,2024,5.03
Guinea,2017,2.59
Guinea,2018,2.84
Guinea,2019,3.05
Guinea,2020,3.35
Guinea,2021,3.72
Guinea,2022,4.14
Guinea,2023,4.65
Guinea,2024,5.1
Guinea-Bissau,2017,3.01
Guinea-Bissau,2018,3.04
Guinea-Bissau,2019,3.14
Guinea-Bissau,2020,3.24
Guinea-Bissau,2021,3.45
Guinea-Bissau,2022,3.74
Guinea-Bissau,2023,3.98
Guinea-Bissau,2024,4.09
Guyana,2017,4.62
Guyana,2018,4.79
Guyana,2019,5.06
Guyana,2020,5.41
Guyana,2021,5.9
Guyana,2022,6.37
Guyana,2023,6.64
Guyana,2024,6.83
Haiti,2017,3.93
Haiti,2018,4.05
Haiti,2019,4.28
Haiti,2020,4.57
Haiti,2021,4.88
Haiti,2022,5.3
Haiti,2023,5.53
Haiti,2024,6.21
Honduras,2017,3.69
Honduras,2018,3.66
Honduras,2019,3.64
Honduras,2020,3.76
Honduras,2021,3.81
Honduras,2022,4.28
Honduras,2023,4.64
Honduras,2024,4.75
Hungary,2017,3.36
Hungary,2018,3.45
Hungary,2019,3.6
Hungary,2020,3.69
Hungary,2021,3.68
Hungary,2022,4.46
Hungary,2023,5.08
Hungary,2024,5.08
Iceland,2017,2.37
Iceland,2018,2.41
Iceland,2019,2.52
Iceland,2020,2.69
Iceland,2021,2.77
Iceland,2022,3.0
Iceland,2023,3.21
Iceland,2024,3.29
India,2017,2.77
India,2018,2.86
India,2019,3.01
India,2020,3.23
India,2021,3.4
India,2022,3.67
India,2023,3.86
India,2024,4.07
Indonesia,2017,3.61
Indonesia,2018,3.68
Indonesia,2019,3.68
Indonesia,2020,3.86
Indonesia,2021,4.0
Indonesia,2022,4.39
Indonesia,2023,4.63
Indonesia,2024,4.75
Iran (Islamic Republic of),2017,3.01
Iran (Islamic Republic of),2018,3.11
Iran (Islamic Republic of),2019,3.35
Iran (Islamic Republic of),2020,3.15
Iran (Islamic Republic of),2021,3.37
Iran (Islamic Republic of),2022,4.09
Iran (Islamic Republic of),2023,4.46
Iran (Islamic Republic of),2024,4.39
Iraq,2017,3.32
Iraq,2018,3.48
Iraq,2019,3.5
Iraq,2020,3.5
Iraq,2021,3.42
Iraq,2022,3.76
Iraq,2023,3.97
Iraq,2024,4.1
Ireland,2017,2.33
Ireland,2018,2.27
Ireland,2019,2.3
Ireland,2020,2.22
Ireland,2021,2.29
Ireland,2022,2.52
Ireland,2023,2.74
Ireland,2024,2.83
Israel,2017,2.51
Israel,2018,2.58
Israel,2019,2.6
Israel,2020,2.61
Israel,2021,2.75
Israel,2022,3.13
Israel,2023,3.23
Israel,2024,3.41
Italy,2017,2.74
Italy,2018,2.83
Italy,2019,3.01
Italy,2020,3.09
Italy,2021,3.17
Italy,2022,3.6
Italy,2023,3.96
Italy,2024,4.14
Jamaica,2017,4.88
Jamaica,2018,4.78
Jamaica,2019,4.83
Jamaica,2020,4.9
Jamaica,2021,4.9
Jamaica,2022,5.41
Jamaica,2023,5.83
Jamaica,2024,6.02
Japan,2017,5.48
Japan,2018,5.65
Japan,2019,5.57
Japan,2020,5.8
Japan,2021,5.98
Japan,2022,6.66
Japan,2023,7.29
Japan,2024,7.62
Jordan,2017,2.88
Jordan,2018,2.9
Jordan,2019,2.94
Jordan,2020,3.02
Jordan,2021,2.99
Jordan,2022,3.2
Jordan,2023,3.28
Jordan,2024,3.37
Kazakhstan,2017,2.12
Kazakhstan,2018,2.13
Kazakhstan,2019,2.28
Kazakhstan,2020,2.43
Kazakhstan,2021,2.59
Kazakhstan,2022,2.88
Kazakhstan,2023,3.02
Kazakhstan,2024,3.06
Kenya,2017,2.56
Kenya,2018,2.62
Kenya,2019,2.83
Kenya,2020,3.09
Kenya,2021,3.42
Kenya,2022,3.86
Kenya,2023,4.1
Kenya,2024,4.26
Kuwait,2017,2.13
Kuwait,2018,2.18
Kuwait,2019,2.19
Kuwait,2020,2.22
Kuwait,2021,2.46
Kuwait,2022,2.74
Kuwait,2023,2.93
Kuwait,2024,3.09
Kyrgyzstan,2017,3.23
Kyrgyzstan,2018,2.98
Kyrgyzstan,2019,2.94
Kyrgyzstan,2020,3.21
Kyrgyzstan,2021,3.36
Kyrgyzstan,2022,3.7
Kyrgyzstan,2023,3.77
Kyrgyzstan,2024,3.76
Lao People's Democratic Republic,2017,3.74
Lao People's Democratic Republic,2018,3.77
Lao People's Democratic Republic,2019,3.91
Lao People's Democratic Republic,2020,4.22
Lao People's Democratic Republic,2021,4.33
Lao People's Democratic Republic,2022,4.6
Lao People's Democratic Republic,2023,5.07
Lao People's Democratic Republic,2024,5.19
Latvia,2017,3.04
Latvia,2018,3.03
Latvia,2019,3.19
Latvia,2020,3.28
Latvia,2021,3.55
Latvia,2022,4.13
Latvia,2023,4.51
Latvia,2024,4.72
Lebanon,2017,1.71
Lebanon,2018,1.86
Lebanon,2019,1.88
Lebanon,2020,3.15
Lebanon,2021,3.71
Lebanon,2022,5.58
Lebanon,2023,6.46
Lebanon,2024,6.25
Lesotho,2017,3.59
Lesotho,2018,3.63
Lesotho,2019,3.74
Lesotho,2020,4.0
Lesotho,2021,4.31
Lesotho,2022,4.68
Lesotho,2023,4.96
Lesotho,2024,5.24
Liberia,2017,3.24
Liberia,2018,3.3
Liberia,2019,3.51
Liberia,2020,3.78
Liberia,2021,3.67
Liberia,2022,3.94
Liberia,2023,4.17
Liberia,2024,4.52
Lithuania,2017,2.85
Lithuania,2018,2.87
Lithuania,2019,3.04
Lithuania,2020,3.07
Lithuania,2021,3.12
Lithuania,2022,3.66
Lithuania,2023,3.97
Lithuania,2024,4.03
Luxembourg,2017,2.46
Luxembourg,2018,2.59
Luxembourg,2019,2.62
Luxembourg,2020,2.62
Luxembourg,2021,2.65
Luxembourg,2022,2.95
Luxembourg,2023,3.27
Luxembourg,2024,3.37
Madagascar,2017,3.08
Madagascar,2018,3.18
Madagascar,2019,3.21
Madagascar,2020,3.2
Madagascar,2021,3.34
Madagascar,2022,3.65
Madagascar,2023,3.87
Madagascar,2024,3.96
Malawi,2017,2.38
Malawi,2018,2.52
Malawi,2019,2.77
Malawi,2020,3.09
Malawi,2021,3.43
Malawi,2022,3.88
Malawi,2023,4.29
Malawi,2024,4.64
Malaysia,2017,3.1
Malaysia,2018,3.2
Malaysia,2019,3.3
Malaysia,2020,3.43
Malaysia,2021,3.52
Malaysia,2022,3.89
Malaysia,2023,4.15
Malaysia,2024,4.27
Maldives,2017,3.36
Maldives,2018,3.34
Maldives,2019,3.28
Maldives,2020,3.33
Maldives,2021,3.39
Maldives,2022,3.74
Maldives,2023,4.01
Maldives,2024,4.3
Mali,2017,2.97
Mali,2018,2.96
Mali,2019,2.97
Mali,2020,3.04
Mali,2021,3.16
Mali,2022,3.56
Mali,2023,3.72
Mali,2024,3.86
Malta,2017,3.35
Malta,2018,3.49
Malta,2019,3.75
Malta,2020,3.74
Malta,2021,3.79
Malta,2022,4.28
Malta,2023,4.66
Malta,2024,4.89
Mauritania,2017,3.86
Mauritania,2018,3.92
Mauritania,2019,4.02
Mauritania,2020,4.13
Mauritania,2021,4.43
Mauritania,2022,5.04
Mauritania,2023,5.28
Mauritania,2024,5.4
Mauritius,2017,3.38
Mauritius,2018,3.41
Mauritius,2019,3.46
Mauritius,2020,3.64
Mauritius,2021,3.77
Mauritius,2022,4.21
Mauritius,2023,4.42
Mauritius,2024,4.72
Mexico,2017,2.9
Mexico,2018,2.97
Mexico,2019,2.98
Mexico,2020,3.07
Mexico,2021,3.27
Mexico,2022,3.85
Mexico,2023,4.2
Mexico,2024,4.41
Mongolia,2017,4.11
Mongolia,2018,4.26
Mongolia,2019,4.56
Mongolia,2020,5.01
Mongolia,2021,5.55
Mongolia,2022,6.17
Mongolia,2023,6.74
Mongolia,2024,7.02
Montenegro,2017,3.21
Montenegro,2018,3.24
Montenegro,2019,3.49
Montenegro,2020,3.43
Montenegro,2021,3.63
Montenegro,2022,4.4
Montenegro,2023,4.74
Montenegro,2024,4.78
Morocco,2017,2.63
Morocco,2018,2.5
Morocco,2019,2.47
Morocco,2020,2.47
Morocco,2021,2.76
Morocco,2022,3.11
Morocco,2023,3.45
Morocco,2024,3.54
Mozambique,2017,2.74
Mozambique,2018,2.71
Mozambique,2019,2.77
Mozambique,2020,2.93
Mozambique,2021,3.23
Mozambique,2022,3.57
Mozambique,2023,3.81
Mozambique,2024,4.14
Myanmar,2017,3.56
Myanmar,2018,3.7
Myanmar,2019,3.93
Myanmar,2020,3.96
Myanmar,2021,3.64
Myanmar,2022,3.88
Myanmar,2023,3.72
Myanmar,2024,3.49
Namibia,2017,3.26
Namibia,2018,3.26
Namibia,2019,3.33
Namibia,2020,3.51
Namibia,2021,3.75
Namibia,2022,4.11
Namibia,2023,4.5
Namibia,2024,4.67
Nepal,2017,3.35
Nepal,2018,3.32
Nepal,2019,3.36
Nepal,2020,3.51
Nepal,2021,3.62
Nepal,2022,3.89
Nepal,2023,4.01
Nepal,2024,4.2
Netherlands (Kingdom of the),2017,2.21
Netherlands (Kingdom of the),2018,2.27
Netherlands (Kingdom of the),2019,2.39
Netherlands (Kingdom of the),2020,2.49
Netherlands (Kingdom of the),2021,2.54
Netherlands (Kingdom of the),2022,2.9
Netherlands (Kingdom of the),2023,3.13
Netherlands (Kingdom of the),2024,3.17
New Zealand,2017,2.65
New Zealand,2018,2.57
New Zealand,2019,2.7
New Zealand,2020,2.83
New Zealand,2021,2.86
New Zealand,2022,3.28
New Zealand,2023,3.56
New Zealand,2024,3.56
Nicaragua,2017,3.72
Nicaragua,2018,3.73
Nicaragua,2019,3.78
Nicaragua,2020,3.89
Nicaragua,2021,4.06
Nicaragua,2022,4.59
Nicaragua,2023,4.9
Nicaragua,2024,
Niger,2017,3.25
Niger,2018,3.27
Niger,2019,3.34
Niger,2020,3.6
Niger,2021,4.02
Niger,2022,4.48
Niger,2023,4.68
Niger,2024,4.98
Nigeria,2017,2.78
Nigeria,2018,2.96
Nigeria,2019,3.16
Nigeria,2020,3.41
Nigeria,2021,3.76
Nigeria,2022,4.12
Nigeria,2023,4.39
Nigeria,2024,4.72
North Macedonia,2017,3.29
North Macedonia,2018,3.3
North Macedonia,2019,3.48
North Macedonia,2020,3.51
North Macedonia,2021,3.84
North Macedonia,2022,4.47
North Macedonia,2023,4.74
North Macedonia,2024,4.85
Norway,2017,3.32
Norway,2018,3.43
Norway,2019,3.53
Norway,2020,3.61
Norway,2021,3.63
Norway,2022,3.98
Norway,2023,4.33
Norway,2024,4.55
Oman,2017,2.29
Oman,2018,2.39
Oman,2019,2.49
Oman,2020,2.48
Oman,2021,2.45
Oman,2022,2.7
Oman,2023,2.87
Oman,2024,3.03
Pakistan,2017,2.97
Pakistan,2018,2.91
Pakistan,2019,2.95
Pakistan,2020,3.18
Pakistan,2021,3.3
Pakistan,2022,3.7
Pakistan,2023,4.08
Pakistan,2024,3.95
Palestine,2017,2.52
Palestine,2018,2.65
Palestine,2019,2.76
Palestine,2020,2.77
Palestine,2021,2.72
Palestine,2022,3.03
Palestine,2023,3.16
Palestine,2024,3.33
Panama,2017,4.19
Panama,2018,3.88
Panama,2019,3.78
Panama,2020,3.65
Panama,2021,3.63
Panama,2022,3.96
Panama,2023,4.2
Panama,2024,4.34
Paraguay,2017,3.74
Paraguay,2018,3.73
Paraguay,2019,3.71
Paraguay,2020,3.73
Paraguay,2021,3.95
Paraguay,2022,4.47
Paraguay,2023,4.71
Paraguay,2024,5.04
Peru,2017,3.25
Peru,2018,3.19
Peru,2019,3.24
Peru,2020,3.34
Peru,2021,3.5
Peru,2022,3.94
Peru,2023,4.3
Peru,2024,4.34
Philippines,2017,3.26
Philippines,2018,3.4
Philippines,2019,3.47
Philippines,2020,3.55
Philippines,2021,3.73
Philippines,2022,3.97
Philippines,2023,4.21
Philippines,2024,4.39
Poland,2017,2.95
Poland,2018,3.03
Poland,2019,3.25
Poland,2020,3.38
Poland,2021,3.35
Poland,2022,3.8
Poland,2023,4.04
Poland,2024,4.14
Portugal,2017,2.64
Portugal,2018,2.73
Portugal,2019,2.85
Portugal,2020,2.87
Portugal,2021,2.99
Portugal,2022,3.51
Portugal,2023,3.82
Portugal,2024,3.93
Qatar,2017,2.32
Qatar,2018,2.43
Qatar,2019,2.45
Qatar,2020,2.44
Qatar,2021,2.35
Qatar,2022,2.52
Qatar,2023,2.58
Qatar,2024,2.66
Republic of Korea,2017,4.73
Republic of Korea,2018,4.92
Republic of Korea,2019,4.9
Republic of Korea,2020,5.18
Republic of Korea,2021,5.55
Republic of Korea,2022,6.05
Republic of Korea,2023,6.39
Republic of Korea,2024,6.68
Republic of Moldova,2017,2.34
Republic of Moldova,2018,2.47
Republic of Moldova,2019,2.65
Republic of Moldova,2020,2.9
Republic of Moldova,2021,3.08
Republic of Moldova,2022,3.42
Republic of Moldova,2023,3.56
Republic of Moldova,2024,3.69
Romania,2017,2.79
Romania,2018,2.84
Romania,2019,3.03
Romania,2020,3.17
Romania,2021,3.22
Romania,2022,3.57
Romania,2023,3.93
Romania,2024,4.39
Russian Federation,2017,2.25
Russian Federation,2018,2.28
Russian Federation,2019,2.45
Russian Federation,2020,2.57
Russian Federation,2021,2.77
Russian Federation,2022,3.09
Russian Federation,2023,3.17
Russian Federation,2024,3.29
