Area,Year,ValueTotal
Bangladesh,2021,167658855.0
Bangladesh,2022,169384897.0
Bangladesh,2023,171466990.0
Barbados,2017,280171.0
Barbados,2018,280711.0
Barbados,2019,281207.0
Barbados,2020,281698.0
Barbados,2021,282147.0
Barbados,2022,282318.0
Barbados,2023,282336.0
Belarus,2017,9495790.0
Belarus,2018,9480031.0
Belarus,2019,9435419.0
Belarus,2020,9350944.0
Belarus,2021,9251365.0
Belarus,2022,9173237.0
Belarus,2023,9115680.0
Belgium,2017,11376581.0
Belgium,2018,11428605.0
Belgium,2019,11490618.0
Belgium,2020,11540107.0
Belgium,2021,11570844.0
Belgium,2022,11641820.0
Belgium,2023,11712893.0
Belize,2017,373202.0
Belize,2018,380226.0
Belize,2019,385829.0
Belize,2020,390812.0
Belize,2021,395346.0
Belize,2022,402733.0
Belize,2023,411106.0
Benin,2017,12039780.0
Benin,2018,12383347.0
Benin,2019,12726755.0
Benin,2020,13070169.0
Benin,2021,13413417.0
Benin,2022,13759501.0
Benin,2023,14111034.0
Bhutan,2017,754335.0
Bhutan,2018,759759.0
Bhutan,2019,764824.0
Bhutan,2020,770006.0
Bhutan,2021,775442.0
Bhutan,2022,780914.0
Bhutan,2023,786385.0
Bolivia (Plurinational State of),2017,11344587.0
Bolivia (Plurinational State of),2018,11508368.0
Bolivia (Plurinational State of),2019,11671386.0
Bolivia (Plurinational State of),2020,11816299.0
Bolivia (Plurinational State of),2021,11937360.0
Bolivia (Plurinational State of),2022,12077154.0
Bolivia (Plurinational State of),2023,12244159.0
Bosnia and Herzegovina,2017,3428682.0
Bosnia and Herzegovina,2018,3387000.0
Bosnia and Herzegovina,2019,3345533.0
Bosnia and Herzegovina,2020,3299349.0
Bosnia and Herzegovina,2021,3244907.0
Bosnia and Herzegovina,2022,3204802.0
Bosnia and Herzegovina,2023,3185073.0
Botswana,2017,2266747.0
Botswana,2018,2299141.0
Botswana,2019,2332083.0
Botswana,2020,2365894.0
Botswana,2021,2401441.0
Botswana,2022,2439892.0
Botswana,2023,2480244.0
Brazil,2017,204703445.0
Brazil,2018,206107261.0
Brazil,2019,207455459.0
Brazil,2020,208660842.0
Brazil,2021,209550294.0
Brazil,2022,210306415.0
Brazil,2023,211140729.0
Brunei Darussalam,2017,432772.0
Brunei Darussalam,2018,437810.0
Brunei Darussalam,2019,442680.0
Brunei Darussalam,2020,447404.0
Brunei Darussalam,2021,451721.0
Brunei Darussalam,2022,455370.0
Brunei Darussalam,2023,458949.0
Bulgaria,2017,7075636.0
Bulgaria,2018,7024745.0
Bulgaria,2019,6975469.0
Bulgaria,2020,6933652.0
Bulgaria,2021,6877225.0
Bulgaria,2022,6825864.0
Bulgaria,2023,6795803.0
Burkina Faso,2017,19894407.0
Burkina Faso,2018,20438288.0
Burkina Faso,2019,20961952.0
Burkina Faso,2020,21478690.0
Burkina Faso,2021,21995243.0
Burkina Faso,2022,22509038.0
Burkina Faso,2023,23025776.0
Burundi,2017,11506762.0
Burundi,2018,11859446.0
Burundi,2019,12255336.0
Burundi,2020,12617036.0
Burundi,2021,12965481.0
Burundi,2022,13321097.0
Burundi,2023,13689450.0
Cabo Verde,2017,512893.0
Cabo Verde,2018,513414.99999999994
Cabo Verde,2019,514104.00000000006
Cabo Verde,2020,514679.0
Cabo Verde,2021,516649.0
Cabo Verde,2022,519741.0
Cabo Verde,2023,522331.0
Cambodia,2017,16073372.0
Cambodia,2018,16274522.0
Cambodia,2019,16481304.0
Cambodia,2020,16725473.999999998
Cambodia,2021,16974305.0
Cambodia,2022,17201724.0
Cambodia,2023,17423880.0
Cameroon,2017,24128601.0
Cameroon,2018,24806383.0
Cameroon,2019,25506095.0
Cameroon,2020,26210558.0
Cameroon,2021,26915758.0
Cameroon,2022,27632771.0
Cameroon,2023,28372687.0
Canada,2017,36808497.0
Canada,2018,37295005.0
Canada,2019,37782935.0
Canada,2020,38171902.0
Canada,2021,38454057.0
Canada,2022,38821259.0
Canada,2023,39299105.0
Central African Republic,2017,4793511.0
Central African Republic,2018,4878657.0
Central African Republic,2019,4944703.0
Central African Republic,2020,5026628.0
Central African Republic,2021,5112100.0
Central African Republic,2022,5098039.0
Central African Republic,2023,5152421.0
Chad,2017,15622759.0
Chad,2018,16156531.0
Chad,2019,16685223.000000002
Chad,2020,17224679.0
Chad,2021,17828273.0
Chad,2022,18455316.0
Chad,2023,19319064.0
Chile,2017,18558868.0
Chile,2018,18893191.0
Chile,2019,19197744.0
Chile,2020,19370624.0
Chile,2021,19456334.0
Chile,2022,19553036.0
Chile,2023,19658835.0
China,2017,1444079121.0
China,2018,1450798227.0
China,2019,1455351282.0
China,2020,1457942854.0
China,2021,1458174603.0
China,2022,1456769951.0
China,2023,1454058724.0
"China, Hong Kong SAR",2017,7444891.0
"China, Hong Kong SAR",2018,7471194.0
"China, Hong Kong SAR",2019,7485813.0
"China, Hong Kong SAR",2020,7490235.0
"China, Hong Kong SAR",2021,7484601.0
"China, Hong Kong SAR",2022,7465915.0
"China, Hong Kong SAR",2023,7442734.0
"China, mainland",2017,1412354727.0
"China, mainland",2018,1419008956.0
"China, mainland",2019,1423520357.0
"China, mainland",2020,1426106093.0
"China, mainland",2021,1426437267.0
"China, mainland",2022,1425179569.0
"China, mainland",2023,1422584933.0
Colombia,2017,48131078.0
Colombia,2018,49024465.0
Colombia,2019,49907985.0
Colombia,2020,50629998.0
Colombia,2021,51188173.0
Colombia,2022,51737944.0
Colombia,2023,52321152.0
Congo,2017,5351011.0
Congo,2018,5483118.0
Congo,2019,5616661.0
Congo,2020,5752791.0
Congo,2021,5892183.0
Congo,2022,6035104.0
Congo,2023,6182885.0
Cook Islands,2017,17047.0
Cook Islands,2018,16596.0
Cook Islands,2019,16129.000000000002
Cook Islands,2020,15643.0
Cook Islands,2021,15182.0
Cook Islands,2022,14723.0
Cook Islands,2023,14222.0
Costa Rica,2017,4913177.0
Costa Rica,2018,4957818.0
Costa Rica,2019,4999553.0
Costa Rica,2020,5034320.0
Costa Rica,2021,5059988.0
Costa Rica,2022,5081765.0
Costa Rica,2023,5105525.0
Côte d'Ivoire,2017,26733372.0
Côte d'Ivoire,2018,27464173.0
Côte d'Ivoire,2019,28193009.0
Côte d'Ivoire,2020,28915449.0
Côte d'Ivoire,2021,29639736.0
Côte d'Ivoire,2022,30395002.0
Côte d'Ivoire,2023,31165654.0
Croatia,2017,4079200.0
Croatia,2018,4024868.0
Croatia,2019,3986334.0
Croatia,2020,3953958.0
Croatia,2021,3924610.0
Croatia,2022,3907027.0
Croatia,2023,3896023.0
Cyprus,2017,1254275.0
Cyprus,2018,1270737.0
Cyprus,2019,1286671.0
Cyprus,2020,1302247.0
Cyprus,2021,1317309.0
Cyprus,2022,1331370.0
Cyprus,2023,1344976.0
Czechia,2017,10541342.0
Czechia,2018,10548937.0
Czechia,2019,10554875.0
Czechia,2020,10550129.0
Czechia,2021,10530683.0
Czechia,2022,10673213.0
Czechia,2023,10809716.0
Denmark,2017,5765168.0
Denmark,2018,5793824.0
Denmark,2019,5814618.0
Denmark,2020,5831530.0
Denmark,2021,5856776.0
Denmark,2022,5902904.0
Denmark,2023,5948136.0
Dominican Republic,2017,10666843.0
Dominican Republic,2018,10782053.0
Dominican Republic,2019,10894043.0
Dominican Republic,2020,11008300.0
Dominican Republic,2021,11123476.0
Dominican Republic,2022,11230734.0
Dominican Republic,2023,11331265.0
Ecuador,2017,16759519.0
Ecuador,2018,17049547.0
Ecuador,2019,17340021.0
Ecuador,2020,17546065.0
Ecuador,2021,17682454.0
Ecuador,2022,17823897.0
Ecuador,2023,17980083.0
Egypt,2017,103696057.0
Egypt,2018,105682093.0
Egypt,2019,107553158.0
Egypt,2020,109315124.0
Egypt,2021,110957008.0
Egypt,2022,112618250.0
Egypt,2023,114535772.0
El Salvador,2017,6213533.0
El Salvador,2018,6219807.0
El Salvador,2019,6222318.0
El Salvador,2020,6234673.0
El Salvador,2021,6255782.0
El Salvador,2022,6280319.0
El Salvador,2023,6309624.0
Equatorial Guinea,2017,1562396.0
Equatorial Guinea,2018,1616422.0
Equatorial Guinea,2019,1670177.0
Equatorial Guinea,2020,1716468.0
Equatorial Guinea,2021,1758786.0
Equatorial Guinea,2022,1803545.0
Equatorial Guinea,2023,1847549.0
Eritrea,2017,3150347.0
Eritrea,2018,3192760.0
Eritrea,2019,3240194.0
Eritrea,2020,3291271.0
Eritrea,2021,3350183.0
Eritrea,2022,3409447.0
Eritrea,2023,3470390.0
Estonia,2017,1317425.0
Estonia,2018,1321965.0
Estonia,2019,1326822.0
Estonia,2020,1329669.0
Estonia,2021,1331749.0
Estonia,2022,1350091.0
Estonia,2023,1367196.0
Ethiopia,2017,109666481.0
Ethiopia,2018,112664152.0
Ethiopia,2019,115737383.0
Ethiopia,2020,118917671.0
Ethiopia,2021,122138588.0
Ethiopia,2022,125384287.0
Ethiopia,2023,128691692.0
Fiji,2017,918759.0
Fiji,2018,917180.0
Fiji,2019,914899.0
Fiji,2020,914963.0
Fiji,2021,916711.0
Fiji,2022,919422.0
Fiji,2023,924145.0
Finland,2017,5508396.0
Finland,2018,5515736.0
Finland,2019,5521759.0
Finland,2020,5529612.0
Finland,2021,5541075.0
Finland,2022,5569299.0
Finland,2023,5601185.0
France,2017,65284776.0
France,2018,65519543.0
France,2019,65729459.0
France,2020,65905277.0
France,2021,66083547.99999999
France,2022,66277409.0
France,2023,66438822.0
Gambia,2017,2342189.0
Gambia,2018,2399632.0
Gambia,2019,2456844.0
Gambia,2020,2515733.0
Gambia,2021,2576010.0
Gambia,2022,2636470.0
Gambia,2023,2697845.0
Georgia,2017,3792859.0
Georgia,2018,3794877.0
Georgia,2019,3796722.0
Georgia,2020,3795678.0
Georgia,2021,3788451.0
Georgia,2022,3794784.0
Georgia,2023,3807492.0
Germany,2017,83104007.0
Germany,2018,83368505.0
Germany,2019,83559186.0
Germany,2020,83628708.0
Germany,2021,83697083.0
Germany,2022,84086227.0
Germany,2023,84548231.0
Ghana,2017,30008354.0
Ghana,2018,30637585.0
Ghana,2019,31258945.0
Ghana,2020,31887809.0
Ghana,2021,32518665.0
Ghana,2022,33149152.0
Ghana,2023,33787914.0
Greece,2017,10753533.0
Greece,2018,10730844.0
Greece,2019,10718576.0
Greece,2020,10699369.0
Greece,2021,10579561.0
Greece,2022,10412480.0
Greece,2023,10242908.0
Grenada,2017,115438.0
Grenada,2018,115691.0
Grenada,2019,115981.0
Grenada,2020,116341.0
Grenada,2021,116688.0
Grenada,2022,116913.0
Grenada,2023,117081.0
Guinea,2017,12385659.0
Guinea,2018,12704774.0
Guinea,2019,13034346.0
Guinea,2020,13371183.0
Guinea,2021,13710513.0
Guinea,2022,14055137.0
Guinea,2023,14405468.0
Guinea-Bissau,2017,1877072.0
Guinea-Bissau,2018,1922168.0
Guinea-Bissau,2019,1967696.0
Guinea-Bissau,2020,2013255.0
Guinea-Bissau,2021,2058841.0
Guinea-Bissau,2022,2105529.0
Guinea-Bissau,2023,2153339.0
Guyana,2017,768479.0
Guyana,2018,791556.0
Guyana,2019,807665.0
Guyana,2020,807481.0
Guyana,2021,815482.0
Guyana,2022,821637.0
Guyana,2023,826353.0
Honduras,2017,9588137.0
Honduras,2018,9765210.0
Honduras,2019,9943633.0
Honduras,2020,10119640.0
Honduras,2021,10289877.0
Honduras,2022,10463872.0
Honduras,2023,10644851.0
Hungary,2017,9785604.0
Hungary,2018,9774394.0
Hungary,2019,9770346.0
Hungary,2020,9749457.0
Hungary,2021,9707850.0
Hungary,2022,9684306.0
Hungary,2023,9686463.0
Iceland,2017,343531.0
Iceland,2018,352854.0
Iceland,2019,360700.0
Iceland,2020,366614.0
Iceland,2021,372644.0
Iceland,2022,380356.0
Iceland,2023,387558.0
India,2017,1359657400.0
India,2018,1374659064.0
India,2019,1389030312.0
India,2020,1402617695.0
India,2021,1414203896.0
India,2022,1425423212.0
India,2023,1438069596.0
Indonesia,2017,267346658.0
Indonesia,2018,269951846.0
Indonesia,2019,272489381.0
Indonesia,2020,274814866.0
Indonesia,2021,276758053.0
Indonesia,2022,278830529.0
Indonesia,2023,281190067.0
Iran (Islamic Republic of),2017,85026754.0
Iran (Islamic Republic of),2018,86117998.0
Iran (Islamic Republic of),2019,87051648.0
Iran (Islamic Republic of),2020,87723443.0
Iran (Islamic Republic of),2021,88455488.0
Iran (Islamic Republic of),2022,89524246.0
Iran (Islamic Republic of),2023,90608707.0
Iraq,2017,39337353.0
Iraq,2018,40265624.0
Iraq,2019,41192171.0
Iraq,2020,42116605.0
Iraq,2021,43071211.0
Iraq,2022,44070551.0
Iraq,2023,45074049.0
Ireland,2017,4810261.0
Ireland,2018,4872556.0
Ireland,2019,4933491.0
Ireland,2020,4982606.0
Ireland,2021,5028426.0
Ireland,2022,5110016.0
Ireland,2023,5196630.0
Israel,2017,8361797.000000001
Israel,2018,8510067.0
Israel,2019,8657474.0
Israel,2020,8800376.0
Israel,2021,8942924.0
Israel,2022,9103151.0
Israel,2023,9256314.0
Italy,2017,60390318.0
Italy,2018,60277499.0
Italy,2019,60130136.0
Italy,2020,59912769.0
Italy,2021,59729350.0
Italy,2022,59619115.0
Italy,2023,59499453.0
Jamaica,2017,2815764.0
Jamaica,2018,2820097.0
Jamaica,2019,2823271.0
Jamaica,2020,2830739.0
Jamaica,2021,2837682.0
Jamaica,2022,2839144.0
Jamaica,2023,2839786.0
Japan,2017,127064690.0
Japan,2018,126913432.0
Japan,2019,126699424.0
Japan,2020,126304543.0
Japan,2021,125679338.0
Japan,2022,124997578.0
Japan,2023,124370947.0
Jordan,2017,10234226.0
Jordan,2018,10462306.0
Jordan,2019,10671891.0
Jordan,2020,10865228.0
Jordan,2021,11066356.0
Jordan,2022,11256263.0
Jordan,2023,11439213.0
Kazakhstan,2017,18651931.0
Kazakhstan,2018,18932727.0
Kazakhstan,2019,19209555.0
Kazakhstan,2020,19482117.0
Kazakhstan,2021,19743603.0
Kazakhstan,2022,20034609.0
Kazakhstan,2023,20330104.0
Kenya,2017,49197766.0
Kenya,2018,50207108.0
Kenya,2019,51202827.0
Kenya,2020,52217334.0
Kenya,2021,53219166.0
Kenya,2022,54252461.0
Kenya,2023,55339002.0
Kuwait,2017,4154685.0000000005
Kuwait,2018,4323387.0
Kuwait,2019,4442194.0
Kuwait,2020,4400144.0
Kuwait,2021,4360742.0
Kuwait,2022,4589511.0
Kuwait,2023,4838782.0
Kyrgyzstan,2017,6220150.0
Kyrgyzstan,2018,6341732.0
Kyrgyzstan,2019,6494035.0
Kyrgyzstan,2020,6664140.0
Kyrgyzstan,2021,6820479.0
Kyrgyzstan,2022,6955788.0
Kyrgyzstan,2023,7073516.0
Lao People's Democratic Republic,2017,7018147.0
Lao People's Democratic Republic,2018,7128045.0
Lao People's Democratic Republic,2019,7237636.0
Lao People's Democratic Republic,2020,7346533.0
Lao People's Democratic Republic,2021,7453194.0
Lao People's Democratic Republic,2022,7559007.0
Lao People's Democratic Republic,2023,7664993.0
Latvia,2017,1942594.0
Latvia,2018,1927588.0
Latvia,2019,1914263.0
Latvia,2020,1901123.0
Latvia,2021,1885587.0
Latvia,2022,1881063.0
Latvia,2023,1882396.0
Lebanon,2017,6160128.0
Lebanon,2018,5984119.0
Lebanon,2019,5794594.0
Lebanon,2020,5702398.0
Lebanon,2021,5718122.0
Lebanon,2022,5744489.0
Lebanon,2023,5773493.0
Lesotho,2017,2157110.0
Lesotho,2018,2183603.0
Lesotho,2019,2209405.0
Lesotho,2020,2235727.0
Lesotho,2021,2261542.0
Lesotho,2022,2286110.0
Lesotho,2023,2311472.0
Lithuania,2017,2829313.0
Lithuania,2018,2802478.0
Lithuania,2019,2795058.0
Lithuania,2020,2795765.0
Lithuania,2021,2794488.0
Lithuania,2022,2816919.0
Lithuania,2023,2854099.0
Luxembourg,2017,596495.0
Luxembourg,2018,608101.0
Luxembourg,2019,620163.0
Luxembourg,2020,630597.0
Luxembourg,2021,640274.0
Luxembourg,2022,653313.0
Luxembourg,2023,665098.0
Madagascar,2017,26788375.0
Madagascar,2018,27494926.0
Madagascar,2019,28219554.0
Madagascar,2020,28953556.0
Madagascar,2021,29691083.0
Madagascar,2022,30437260.0
Madagascar,2023,31195932.0
Malawi,2017,18039715.0
Malawi,2018,18528081.0
Malawi,2019,19025752.0
Malawi,2020,19533888.0
Malawi,2021,20047258.0
Malawi,2022,20568728.0
Malawi,2023,21104482.0
Malaysia,2017,32355644.0
Malaysia,2018,32910966.999999996
Malaysia,2019,33440595.999999996
Malaysia,2020,33889558.0
Malaysia,2021,34282399.0
Malaysia,2022,34695493.0
Malaysia,2023,35126298.0
Maldives,2017,458287.0
Maldives,2018,473099.0
Maldives,2019,487731.0
Maldives,2020,502118.0
Maldives,2021,516154.0
Maldives,2022,524106.0
Maldives,2023,525994.0
Mali,2017,19813010.0
Mali,2018,20442030.0
Mali,2019,21068405.0
Mali,2020,21713836.0
Mali,2021,22388630.0
Mali,2022,23072640.0
Mali,2023,23769127.0
Malta,2017,467902.0
Malta,2018,484558.0
Malta,2019,504015.0
Malta,2020,518207.0
Malta,2021,524376.0
Malta,2022,528192.0
Malta,2023,532956.0
Mauritius,2017,1290655.0
Mauritius,2018,1288833.0
Mauritius,2019,1286270.0
Mauritius,2020,1283223.0
Mauritius,2021,1279623.0
Mauritius,2022,1276130.0
Mauritius,2023,1273588.0
Mexico,2017,123400057.0
Mexico,2018,124573711.0
Mexico,2019,125762983.0
Mexico,2020,126799055.0
Mexico,2021,127648148.0
Mexico,2022,128613117.0
Mexico,2023,129739759.0
Mongolia,2017,3104364.0
Mongolia,2018,3167706.0
Mongolia,2019,3232113.0
Mongolia,2020,3290785.0
Mongolia,2021,3339674.0
Mongolia,2022,3386015.0
Mongolia,2023,3431932.0
Morocco,2017,35446392.0
Morocco,2018,35839760.0
Morocco,2019,36210898.0
Morocco,2020,36584208.0
Morocco,2021,36954442.0
Morocco,2022,37329064.0
Morocco,2023,37712505.0
Mozambique,2017,28166393.0
Mozambique,2018,29018644.0
Mozambique,2019,29884380.0
Mozambique,2020,30783688.0
Mozambique,2021,31707800.0
Mozambique,2022,32656246.0
Mozambique,2023,33635160.0
Namibia,2017,2506853.0
Namibia,2018,2577327.0
Namibia,2019,2650494.0
Namibia,2020,2728762.0
Namibia,2021,2810548.0
Namibia,2022,2889662.0
Namibia,2023,2963095.0
Nepal,2017,28011258.0
Nepal,2018,28079689.0
Nepal,2019,28414064.0
Nepal,2020,28966574.0
Nepal,2021,29475010.0
Nepal,2022,29715436.0
Nepal,2023,29694614.0
Netherlands (Kingdom of the),2017,17315370.0
Netherlands (Kingdom of the),2018,17421280.0
Netherlands (Kingdom of the),2019,17537507.0
Netherlands (Kingdom of the),2020,17636731.0
Netherlands (Kingdom of the),2021,17730564.0
Netherlands (Kingdom of the),2022,17904421.0
Netherlands (Kingdom of the),2023,18092524.0
New Caledonia,2017,283546.0
New Caledonia,2018,283541.0
New Caledonia,2019,283606.0
New Caledonia,2020,284176.0
New Caledonia,2021,285214.0
New Caledonia,2022,287123.0
New Caledonia,2023,289870.0
New Zealand,2017,4812752.0
New Zealand,2018,4900847.0
New Zealand,2019,4989403.0
New Zealand,2020,5069895.0
New Zealand,2021,5107697.0
New Zealand,2022,5131734.0
New Zealand,2023,5172836.0
Nicaragua,2017,6316231.0
Nicaragua,2018,6400080.0
Nicaragua,2019,6483657.0
Nicaragua,2020,6565267.0
Nicaragua,2021,6644741.0
Nicaragua,2022,6730654.0
Nicaragua,2023,6823613.0
Niger,2017,21435446.0
Niger,2018,22188069.0
Niger,2019,22947758.0
Niger,2020,23717613.0
Niger,2021,24502140.0
Niger,2022,25311973.0
Niger,2023,26159867.0
Nigeria,2017,200254579.0
Nigeria,2018,204938755.0
Nigeria,2019,209485641.0
Nigeria,2020,213996181.0
Nigeria,2021,218529287.0
Nigeria,2022,223150896.0
Nigeria,2023,227882945.0
North Macedonia,2017,1940879.0
North Macedonia,2018,1919728.0
North Macedonia,2019,1897641.0
North Macedonia,2020,1872015.0
North Macedonia,2021,1851108.0
North Macedonia,2022,1840233.0
North Macedonia,2023,1831802.0
Norway,2017,5276802.0
Norway,2018,5311752.0
Norway,2019,5347730.0
Norway,2020,5379274.0
Norway,2021,5408091.0
Norway,2022,5456801.0
Norway,2023,5519167.0
Oman,2017,4537396.0
Oman,2018,4597877.0
Oman,2019,4591241.0
Oman,2020,4522497.0
Oman,2021,4500424.0
Oman,2022,4730226.0
Oman,2023,5049269.0
Pakistan,2017,223273967.0
Pakistan,2018,226928892.0
Pakistan,2019,230800899.0
Pakistan,2020,235001746.0
Pakistan,2021,239477801.0
Pakistan,2022,243700667.0
Pakistan,2023,247504495.0
Palestine,2017,4742743.0
Palestine,2018,4850592.0
Palestine,2019,4957768.0
Palestine,2020,5069692.0
Palestine,2021,5185336.0
Palestine,2022,5305270.0
Palestine,2023,5409202.0
Panama,2017,4098707.0000000005
Panama,2018,4167859.9999999995
Panama,2019,4234700.0
Panama,2020,4293261.0
Panama,2021,4345405.0
Panama,2022,4400773.0
Panama,2023,4458759.0
Paraguay,2017,6338660.0
Paraguay,2018,6427382.0
Paraguay,2019,6515058.0
Paraguay,2020,6603739.0
Paraguay,2021,6684182.0
Paraguay,2022,6760464.0
Paraguay,2023,6844146.0
Peru,2017,31324637.0
Peru,2018,31897584.0
Peru,2019,32449303.0
Peru,2020,32838578.999999996
Peru,2021,33155881.999999996
Peru,2022,33475438.000000004
Peru,2023,33845617.0
Philippines,2017,108119693.0
Philippines,2018,109465287.0
Philippines,2019,110804683.0
Philippines,2020,112081264.0
Philippines,2021,113100950.0
Philippines,2022,113964339.0
Philippines,2023,114891199.0
Poland,2017,38254959.0
Poland,2018,38241070.0
Poland,2019,38225885.0
Poland,2020,38171012.0
Poland,2021,38040302.0
Poland,2022,38385739.0
Poland,2023,38762844.0
Portugal,2017,10330844.0
Portugal,2018,10325353.0
Portugal,2019,10343213.0
Portugal,2020,10370519.0
Portugal,2021,10390956.0
Portugal,2022,10417073.0
Portugal,2023,10430738.0
Puerto Rico,2017,3371874.0
Puerto Rico,2018,3290068.0
Puerto Rico,2019,3288028.0
Puerto Rico,2020,3275805.0
Puerto Rico,2021,3253210.0
Puerto Rico,2022,3240968.0
Puerto Rico,2023,3242023.0
Qatar,2017,2706709.0
Qatar,2018,2761142.0
Qatar,2019,2797921.0
Qatar,2020,2803375.0
Qatar,2021,2814982.0
Qatar,2022,2892455.0
Qatar,2023,2979082.0
Republic of Korea,2017,51486270.0
Republic of Korea,2018,51640894.0
Republic of Korea,2019,51767846.0
Republic of Korea,2020,51858482.0
Republic of Korea,2021,51848397.0
Republic of Korea,2022,51782512.0
Republic of Korea,2023,51748739.0
Republic of Moldova,2017,3193497.0
Republic of Moldova,2018,3153773.0
Republic of Moldova,2019,3112562.0
Republic of Moldova,2020,3069131.0
Republic of Moldova,2021,3023778.0
Republic of Moldova,2022,3039985.0
Republic of Moldova,2023,3067070.0
Romania,2017,19689402.0
Romania,2018,19597872.0
Romania,2019,19501542.0
Romania,2020,19392469.0
Romania,2021,19248161.0
Romania,2022,19166772.0
Romania,2023,19118479.0
Russian Federation,2017,146186799.0
Russian Federation,2018,146430146.0
Russian Federation,2019,146533067.0
Russian Federation,2020,146371299.0
Russian Federation,2021,145836175.0
Russian Federation,2022,145579899.0
Russian Federation,2023,145440500.0
Rwanda,2017,12202060.0
Rwanda,2018,12487996.0
Rwanda,2019,12776103.0
Rwanda,2020,13065837.0
Rwanda,2021,13355260.0
Rwanda,2022,13651030.0
Rwanda,2023,13954471.0
Saint Kitts and Nevis,2017,47050.0
Saint Kitts and Nevis,2018,47008.0
Saint Kitts and Nevis,2019,46952.0
Saint Kitts and Nevis,2020,46870.0
Saint Kitts and Nevis,2021,46763.0
Saint Kitts and Nevis,2022,46709.0
Saint Kitts and Nevis,2023,46758.0
Saint Lucia,2017,176342.0
Saint Lucia,2018,177017.0
Saint Lucia,2019,177661.0
Saint Lucia,2020,178250.0
Saint Lucia,2021,178522.0
Saint Lucia,2022,178781.0
Saint Lucia,2023,179285.0
Saint Vincent and the Grenadines,2017,105663.0
Saint Vincent and the Grenadines,2018,104926.0
Saint Vincent and the Grenadines,2019,104167.0
Saint Vincent and the Grenadines,2020,103526.0
Saint Vincent and the Grenadines,2021,102841.0
Saint Vincent and the Grenadines,2022,102046.0
Saint Vincent and the Grenadines,2023,101323.0
Samoa,2017,205415.0
Samoa,2018,207582.0
Samoa,2019,209780.0
Samoa,2020,211944.0
Samoa,2021,213779.0
Samoa,2022,215261.0
Samoa,2023,216663.0
Saudi Arabia,2017,30782402.0
Saudi Arabia,2018,30365121.0
Saudi Arabia,2019,30472812.0
Saudi Arabia,2020,30991207.0
Saudi Arabia,2021,31328375.0
Saudi Arabia,2022,32175352.0
Saudi Arabia,2023,33264292.0
Senegal,2017,15475002.0
Senegal,2018,15914498.0
Senegal,2019,16352922.0
Senegal,2020,16789219.0
Senegal,2021,17220867.0
Senegal,2022,17651103.0
Senegal,2023,18077573.0
Serbia,2017,7073507.0
Serbia,2018,7020019.0
Serbia,2019,6966153.0
Serbia,2020,6907812.0
Serbia,2021,6835430.0
Serbia,2022,6791213.0
Serbia,2023,6773201.0
Seychelles,2017,112427.0
Seychelles,2018,115040.0
Seychelles,2019,117650.0
Seychelles,2020,120291.0
Seychelles,2021,122987.0
Seychelles,2022,125522.0
Seychelles,2023,127951.0
Sierra Leone,2017,7379299.0
Sierra Leone,2018,7554563.0
Sierra Leone,2019,7731991.0
Sierra Leone,2020,7912558.0
Sierra Leone,2021,8094602.0
